user_id,product_id,rating,visit_count,review_text,transaction_value,category,tag,source_country
1,116,1,40,In laborum deleniti blanditiis iusto quam autem deserunt.,3602093.63,Makanan,Gratis Ongkir,Jepang
1,116,1,40,In laborum deleniti blanditiis iusto quam autem deserunt.,4969694.99,Makanan,Gratis Ongkir,Jepang
1,116,1,31,In laborum deleniti blanditiis iusto quam autem deserunt.,3602093.63,Kecantikan,Diskon,Jepang
1,116,1,31,In laborum deleniti blanditiis iusto quam autem deserunt.,4969694.99,Kecantikan,Diskon,Jepang
1,116,1,22,In laborum deleniti blanditiis iusto quam autem deserunt.,3602093.63,Fashion,Diskon,Korea Selatan
1,116,1,22,In laborum deleniti blanditiis iusto quam autem deserunt.,4969694.99,Fashion,Diskon,Korea Selatan
1,116,1,40,In laborum deleniti blanditiis iusto quam autem deserunt.,3602093.63,Makanan,Terbaru,Korea Selatan
1,116,1,40,In laborum deleniti blanditiis iusto quam autem deserunt.,4969694.99,Makanan,Terbaru,Korea Selatan
1,116,1,11,In laborum deleniti blanditiis iusto quam autem deserunt.,3602093.63,Fashion,Gratis Ongkir,China
1,116,1,11,In laborum deleniti blanditiis iusto quam autem deserunt.,4969694.99,Fashion,Gratis Ongkir,China
1,276,4,40,In laborum deleniti blanditiis iusto quam autem deserunt.,3602093.63,Makanan,Gratis Ongkir,Jepang
1,276,4,40,In laborum deleniti blanditiis iusto quam autem deserunt.,4969694.99,Makanan,Gratis Ongkir,Jepang
1,276,4,31,In laborum deleniti blanditiis iusto quam autem deserunt.,3602093.63,Kecantikan,Diskon,Jepang
1,276,4,31,In laborum deleniti blanditiis iusto quam autem deserunt.,4969694.99,Kecantikan,Diskon,Jepang
1,276,4,22,In laborum deleniti blanditiis iusto quam autem deserunt.,3602093.63,Fashion,Diskon,Korea Selatan
1,276,4,22,In laborum deleniti blanditiis iusto quam autem deserunt.,4969694.99,Fashion,Diskon,Korea Selatan
1,276,4,40,In laborum deleniti blanditiis iusto quam autem deserunt.,3602093.63,Makanan,Terbaru,Korea Selatan
1,276,4,40,In laborum deleniti blanditiis iusto quam autem deserunt.,4969694.99,Makanan,Terbaru,Korea Selatan
1,276,4,11,In laborum deleniti blanditiis iusto quam autem deserunt.,3602093.63,Fashion,Gratis Ongkir,China
1,276,4,11,In laborum deleniti blanditiis iusto quam autem deserunt.,4969694.99,Fashion,Gratis Ongkir,China
2,45,5,29,Odit distinctio placeat quas.,4517871.94,Makanan,Terlaris,Amerika Serikat
2,45,5,29,Provident voluptas doloremque pariatur.,4517871.94,Makanan,Terlaris,Amerika Serikat
2,45,5,49,Odit distinctio placeat quas.,4517871.94,Elektronik,Terlaris,Indonesia
2,45,5,49,Provident voluptas doloremque pariatur.,4517871.94,Elektronik,Terlaris,Indonesia
2,211,4,29,Odit distinctio placeat quas.,4517871.94,Makanan,Terlaris,Amerika Serikat
2,211,4,29,Provident voluptas doloremque pariatur.,4517871.94,Makanan,Terlaris,Amerika Serikat
2,211,4,49,Odit distinctio placeat quas.,4517871.94,Elektronik,Terlaris,Indonesia
2,211,4,49,Provident voluptas doloremque pariatur.,4517871.94,Elektronik,Terlaris,Indonesia
3,12,2,10,Numquam vel quo quis ex possimus.,1005801.9,Fashion,Terbaru,Amerika Serikat
3,12,2,10,Numquam vel quo quis ex possimus.,4440138.62,Fashion,Terbaru,Amerika Serikat
3,12,2,10,Tempora possimus autem sint optio molestias.,1005801.9,Fashion,Terbaru,Amerika Serikat
3,12,2,10,Tempora possimus autem sint optio molestias.,4440138.62,Fashion,Terbaru,Amerika Serikat
3,12,2,1,Numquam vel quo quis ex possimus.,1005801.9,Elektronik,Terlaris,China
3,12,2,1,Numquam vel quo quis ex possimus.,4440138.62,Elektronik,Terlaris,China
3,12,2,1,Tempora possimus autem sint optio molestias.,1005801.9,Elektronik,Terlaris,China
3,12,2,1,Tempora possimus autem sint optio molestias.,4440138.62,Elektronik,Terlaris,China
3,12,2,25,Numquam vel quo quis ex possimus.,1005801.9,Makanan,Gratis Ongkir,Amerika Serikat
